Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",-157.976604,-89.966893,0.000000,bottom
"C2","0.1uF","C_0805_2012Metric",-151.818342,-95.578581,135.000000,bottom
"C3","0.1uF","C_0805_2012Metric",-163.492675,-101.505550,45.000000,bottom
"C4","22pF","C_0805_2012Metric",-157.260376,-95.273253,-135.000000,bottom
"C5","22pF","C_0805_2012Metric",-161.930108,-99.942986,45.000000,bottom
"C6","1uF","C_0805_2012Metric",-147.004922,-99.637656,135.000000,bottom
"D1","D_Small","D_SOT-23_ANK_norm",-45.690333,-75.070189,-90.000000,bottom
"D2","D_Small","D_SOT-23_ANK_norm",-84.718347,-77.267690,-100.000000,bottom
"D3","D_Small","D_SOT-23_ANK_norm",-122.239520,-83.883684,-100.000000,bottom
"D4","D_Small","D_SOT-23_ANK_norm",-178.190449,-85.002611,-80.000000,bottom
"D5","D_Small","D_SOT-23_ANK_norm",-215.711626,-78.386615,-80.000000,bottom
"D6","D_Small","D_SOT-23_ANK_norm",-254.268004,-74.650693,-90.000000,bottom
"D7","D_Small","D_SOT-23_ANK_norm",-45.182331,-93.688390,-90.000000,bottom
"D8","D_Small","D_SOT-23_ANK_norm",-86.163029,-96.866300,-100.000000,bottom
"D9","D_Small","D_SOT-23_ANK_norm",-123.684204,-103.482298,-100.000000,bottom
"D10","D_Small","D_SOT-23_ANK_norm",-186.295238,-103.175312,-80.000000,bottom
"D11","D_Small","D_SOT-23_ANK_norm",-223.816414,-96.559318,-80.000000,bottom
"D12","D_Small","D_SOT-23_ANK_norm",-249.950005,-93.700694,-90.000000,bottom
"D13","D_Small","D_SOT-23_ANK_norm",-49.525732,-113.017791,-90.000000,bottom
"D14","D_Small","D_SOT-23_ANK_norm",-92.360393,-117.302941,-100.000000,bottom
"D15","D_Small","D_SOT-23_ANK_norm",-129.881568,-123.918940,-100.000000,bottom
"D16","D_Small","D_SOT-23_ANK_norm",-180.303905,-123.317706,-80.000000,bottom
"D17","D_Small","D_SOT-23_ANK_norm",-217.574941,-116.745818,-80.000000,bottom
"D18","D_Small","D_SOT-23_ANK_norm",-257.570004,-112.496693,-90.000000,bottom
"D19","D_Small","D_SOT-23_ANK_norm",-65.200774,-132.373682,-90.000000,bottom
"D20","D_Small","D_SOT-23_ANK_norm",-134.239737,-144.547113,-100.000000,bottom
"D21","D_Small","D_SOT-23_ANK_norm",-234.964005,-133.578694,-90.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",-156.986004,-80.238694,90.000000,bottom
"G***","LOGO","elmo",-223.825572,-82.693579,-170.000000,bottom
"G***","LOGO","vial_logo",-80.613287,-82.023658,170.000000,bottom
"G***","LOGO","qmk",-109.982772,-87.367179,170.000000,bottom
"R1","5.1k","R_0805_2012Metric",-144.794004,-75.666695,0.000000,bottom
"R2","5.1k","R_0805_2012Metric",-161.558005,-75.666695,180.000000,bottom
"R3","22","R_0805_2012Metric",-154.192003,-85.579841,-90.000000,bottom
"R4","22","R_0805_2012Metric",-152.146772,-85.589179,-90.000000,bottom
"R5","10k","R_0805_2012Metric",-159.915479,-110.811396,135.000000,bottom
"R6","10k","R_0805_2012Metric",-146.203172,-107.179179,135.000000,bottom
"RESET","RESET","PinHeader_1x02_P2.54mm_Vertical",-153.679004,-143.230695,-90.000000,bottom
"U1","ATmega32U2-A","TQFP-32_7x7mm_P0.8mm",-154.409696,-104.276511,-135.000000,bottom
"U2","SRV05-4","SOT-23-6",-153.226803,-80.187895,0.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-153.183131,-69.380591,0.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",-159.595243,-97.608119,-45.000000,bottom
"MX1","MX-NoLED","MXOnly-1U-NoLED",36.160631,-71.251442,0.000000,top
"MX2","MX-NoLED","MXOnly-1U-NoLED",55.210631,-71.251443,0.000000,top
"MX3","MX-NoLED","MXOnly-1U-NoLED",76.049218,-71.993353,-10.000000,top
"MX4","MX-NoLED","MXOnly-1U-NoLED",94.809805,-75.301349,-10.000000,top
"MX5","MX-NoLED","MXOnly-1U-NoLED",113.570394,-78.609347,-10.000000,top
"MX6","MX-NoLED","MXOnly-1U-NoLED",132.330980,-81.917345,-10.000000,top
"MX7","MX-NoLED","MXOnly-1U-NoLED",168.168745,-82.962284,10.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",186.929332,-79.654284,10.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",205.689921,-76.346288,10.000000,top
